tensor(9.0156, device='cuda:0', dtype=torch.float16)
tensor(8.3750, device='cuda:1', dtype=torch.float16)
tensor(1.7617, device='cuda:0', dtype=torch.float16)
tensor(1.7354, device='cuda:1', dtype=torch.float16)
tensor(1.1836, device='cuda:1', dtype=torch.float16)
tensor(1.2109, device='cuda:0', dtype=torch.float16)
tensor(0.7222, device='cuda:1', dtype=torch.float16)
tensor(0.7432, device='cuda:0', dtype=torch.float16)
tensor(0.6118, device='cuda:1', dtype=torch.float16)
tensor(0.6304, device='cuda:0', dtype=torch.float16)
tensor(0.4624, device='cuda:1', dtype=torch.float16)
tensor(0.4727, device='cuda:0', dtype=torch.float16)
tensor(0.3984, device='cuda:1', dtype=torch.float16)
tensor(0.4058, device='cuda:0', dtype=torch.float16)
tensor(0.3069, device='cuda:1', dtype=torch.float16)
tensor(0.3127, device='cuda:0', dtype=torch.float16)
tensor(0.2712, device='cuda:1', dtype=torch.float16)
tensor(0.2769, device='cuda:0', dtype=torch.float16)
tensor(0.2233, device='cuda:0', dtype=torch.float16)
tensor(0.2175, device='cuda:1', dtype=torch.float16)
tensor(0.1995, device='cuda:0', dtype=torch.float16)
tensor(0.1940, device='cuda:1', dtype=torch.float16)
tensor(0.1602, device='cuda:1', dtype=torch.float16)
tensor(0.1652, device='cuda:0', dtype=torch.float16)
tensor(0.1503, device='cuda:0', dtype=torch.float16)
tensor(0.1459, device='cuda:1', dtype=torch.float16)
tensor(0.1278, device='cuda:0', dtype=torch.float16)
tensor(0.1243, device='cuda:1', dtype=torch.float16)
tensor(0.1144, device='cuda:1', dtype=torch.float16)
tensor(0.1175, device='cuda:0', dtype=torch.float16)
tensor(0.1014, device='cuda:0', dtype=torch.float16)
tensor(0.0992, device='cuda:1', dtype=torch.float16)

tensor(0.1157, device='cuda:1', dtype=torch.float16)
tensor(0.1263, device='cuda:0', dtype=torch.float16)
tensor(0.0960, device='cuda:1', dtype=torch.float16)
tensor(0.1008, device='cuda:0', dtype=torch.float16)
tensor(0.0851, device='cuda:1', dtype=torch.float16)
tensor(0.0884, device='cuda:0', dtype=torch.float16)
tensor(0.0829, device='cuda:0', dtype=torch.float16)
tensor(0.0798, device='cuda:1', dtype=torch.float16)
tensor(0.0792, device='cuda:1', dtype=torch.float16)
tensor(0.1003, device='cuda:0', dtype=torch.float16)
tensor(0.0770, device='cuda:0', dtype=torch.float16)
tensor(0.0799, device='cuda:1', dtype=torch.float16)
tensor(0.0695, device='cuda:0', dtype=torch.float16)
tensor(0.0726, device='cuda:1', dtype=torch.float16)
tensor(0.0681, device='cuda:1', dtype=torch.float16)
tensor(0.0643, device='cuda:0', dtype=torch.float16)
tensor(0.0676, device='cuda:1', dtype=torch.float16)
tensor(0.0642, device='cuda:0', dtype=torch.float16)
tensor(0.0596, device='cuda:1', dtype=torch.float16)
tensor(0.0558, device='cuda:0', dtype=torch.float16)
tensor(0.0536, device='cuda:1', dtype=torch.float16)
tensor(0.0505, device='cuda:0', dtype=torch.float16)
tensor(0.0506, device='cuda:1', dtype=torch.float16)
tensor(0.0468, device='cuda:0', dtype=torch.float16)
tensor(0.0464, device='cuda:0', dtype=torch.float16)
tensor(0.0493, device='cuda:1', dtype=torch.float16)
tensor(0.0435, device='cuda:1', dtype=torch.float16)
tensor(0.0400, device='cuda:0', dtype=torch.float16)
tensor(0.0398, device='cuda:1', dtype=torch.float16)
tensor(0.0376, device='cuda:0', dtype=torch.float16)


tensor(0.0231, device='cuda:0', dtype=torch.float16)
tensor(0.0198, device='cuda:1', dtype=torch.float16)
tensor(0.0314, device='cuda:1', dtype=torch.float16)
tensor(0.0289, device='cuda:0', dtype=torch.float16)
tensor(0.0294, device='cuda:1', dtype=torch.float16)
tensor(0.0279, device='cuda:0', dtype=torch.float16)

tensor(0.0525, device='cuda:0', dtype=torch.float16)
tensor(0.1039, device='cuda:1', dtype=torch.float16)
tensor(0.0280, device='cuda:0', dtype=torch.float16)
tensor(0.0339, device='cuda:1', dtype=torch.float16)
tensor(0.0276, device='cuda:0', dtype=torch.float16)
tensor(0.0335, device='cuda:1', dtype=torch.float16)
tensor(0.0275, device='cuda:0', dtype=torch.float16)
tensor(0.0334, device='cuda:1', dtype=torch.float16)
tensor(0.0274, device='cuda:0', dtype=torch.float16)
tensor(0.0333, device='cuda:1', dtype=torch.float16)
tensor(0.0328, device='cuda:1', dtype=torch.float16)
tensor(0.0269, device='cuda:0', dtype=torch.float16)
tensor(0.0265, device='cuda:0', dtype=torch.float16)
tensor(0.0324, device='cuda:1', dtype=torch.float16)
tensor(0.0261, device='cuda:0', dtype=torch.float16)
tensor(0.0319, device='cuda:1', dtype=torch.float16)
tensor(0.0320, device='cuda:1', dtype=torch.float16)
tensor(0.0262, device='cuda:0', dtype=torch.float16)
tensor(0.0314, device='cuda:1', dtype=torch.float16)
tensor(0.0256, device='cuda:0', dtype=torch.float16)
tensor(0.0312, device='cuda:1', dtype=torch.float16)
tensor(0.0253, device='cuda:0', dtype=torch.float16)


tensor(0.0228, device='cuda:1', dtype=torch.float16)
tensor(0.0399, device='cuda:0', dtype=torch.float16)
tensor(0.0337, device='cuda:1', dtype=torch.float16)
tensor(0.0285, device='cuda:0', dtype=torch.float16)
tensor(0.0337, device='cuda:1', dtype=torch.float16)
tensor(0.0285, device='cuda:0', dtype=torch.float16)
tensor(0.0337, device='cuda:1', dtype=torch.float16)
